,Class 1,Class 2,Class 3,Class 4,Class 5
Exercise regularly,3.42 (1.18),2.84 (1.07),2.85 (1.1),2.11 (1.05),3.05 (1.14)
Follow a balanced diet,3.9 (0.98),3.06 (1.06),3.38 (1.02),2.58 (1.16),3.55 (1.05)
Take vitamins or dietary supplements,2.58 (1.3),2.23 (1.15),2.29 (1.08),1.91 (1.19),2.39 (1.2)
Visit the dentist regularly,3.8 (1.28),2.79 (1.16),3.14 (1.17),2.29 (1.41),3.69 (1.23)
Watch weight or try to lose weight,3.31 (1.19),2.68 (0.98),2.97 (1.07),2.38 (1.2),3.06 (1.15)
Limit intake of high-fat or high-sugar foods,3.42 (1.0),2.68 (1.01),3.13 (0.99),2.47 (1.06),3.0 (1.01)
Gather health information before making decisions,3.24 (1.14),2.74 (0.96),2.92 (1.06),2.44 (1.21),3.03 (1.11)
Pay attention to physical symptoms or health changes,3.87 (1.09),3.19 (0.9),3.62 (1.01),3.07 (1.11),3.64 (1.07)
Take supplements to prevent illness,2.22 (1.31),1.89 (1.01),2.01 (1.08),1.62 (1.08),2.04 (1.21)
Get routine medical check-ups,3.21 (1.2),2.51 (0.78),3.05 (1.09),2.49 (1.23),2.85 (1.09)
Floss teeth regularly,2.85 (1.49),2.17 (1.1),2.16 (1.13),1.31 (0.67),2.82 (1.45)
Talk with others about health,3.13 (1.02),2.76 (0.96),2.98 (1.03),2.49 (1.15),3.01 (1.02)
Don’t smoke,5.0 (0.0),2.25 (1.08),5.0 (0.0),3.93 (1.68),2.16 (1.12)
Brush teeth twice a day,5.0 (0.0),3.67 (0.0),3.67 (0.0),2.02 (0.57),5.0 (0.0)
Get vaccinated,3.57 (1.31),3.06 (1.25),3.41 (1.15),3.0 (1.36),3.54 (1.27)
Get enough sleep,3.84 (0.93),3.35 (0.8),3.69 (0.94),3.56 (1.11),3.68 (0.96)
